,original,predict
0,106400.0,106400.0
1,185400.0,185400.0
2,405000.0,405000.0
3,95800.0,95800.0
4,442900.0,442900.0
5,341400.0,341400.0
6,290900.0,290900.0
7,239900.0,239900.0
8,209900.0,209900.0
9,151300.0,151300.0
10,393200.0,393200.0
11,79800.0,79800.0
12,164400.0,164400.0
13,154500.0,154500.0
14,290900.0,290900.0
15,257400.0,257400.0
16,127900.0,127900.0
17,159000.0,159000.0
18,184300.0,184300.0
19,32500.0,32500.0
20,253800.0,253800.0
21,161800.0,161800.0
22,79400.0,79400.0
23,500001.0,500001.0
24,258100.0,258100.0
25,104400.0,104400.0
26,72300.0,72300.0
27,289500.0,289500.0
28,65900.0,65900.0
29,192500.0,192500.0
30,195800.0,195800.0
31,238600.0,238600.0
32,102800.0,102800.0
33,95500.0,95500.0
34,222800.0,222800.0
35,220700.0,220700.0
36,64700.0,64700.0
37,55700.0,55700.0
38,336200.0,336200.0
39,158400.0,158400.0
40,44600.0,44600.0
41,225000.0,225000.0
42,312700.0,312700.0
43,224100.0,224100.0
44,133100.0,133100.0
45,453100.0,453100.0
46,300900.0,300900.0
47,171300.0,171300.0
48,500001.0,500001.0
49,253800.0,253800.0
50,183300.0,183300.0
51,500001.0,500001.0
52,500001.0,500001.0
53,272200.0,272200.0
54,87500.0,87500.0
55,500001.0,500001.0
56,117000.0,117000.0
57,184600.0,184600.0
58,358500.0,358500.0
59,450000.0,450000.0
60,174300.0,174300.0
61,103000.0,103000.0
62,204900.0,204900.0
63,146600.0,146600.0
64,184700.0,184700.0
65,81500.0,81500.0
66,185300.0,185300.0
67,159500.0,159500.0
68,172800.0,172800.0
69,187500.0,187500.0
70,281300.0,281300.0
71,85800.0,85800.0
72,171500.0,171500.0
73,152000.0,152000.0
74,245600.0,245600.0
75,281600.0,281600.0
76,54600.0,54600.0
77,249200.0,249200.0
78,96700.0,96700.0
79,96500.0,96500.0
80,298400.0,298400.0
81,94200.0,94200.0
82,350000.0,350000.0
83,156300.0,156300.0
84,112500.0,112500.0
85,93100.0,93100.0
86,153000.0,153000.0
87,414300.0,414300.0
88,210400.0,210400.0
89,105600.0,105600.0
90,242700.0,242700.0
91,318700.0,318700.0
92,98100.0,98100.0
93,119200.0,119200.0
94,197000.0,197000.0
95,112800.0,112800.0
96,228600.0,228600.0
97,223000.0,223000.0
98,226700.0,226700.0
99,312600.0,312600.0
100,310800.0,310800.0
101,393800.0,393800.0
102,165100.0,165100.0
103,139300.0,139300.0
104,197000.0,197000.0
105,320000.0,320000.0
106,250000.0,250000.0
107,157300.0,157300.0
108,275000.0,275000.0
109,243700.0,243700.0
110,342900.0,342900.0
111,281300.0,281300.0
112,132500.0,132500.0
113,500001.0,500001.0
114,251900.0,251900.0
115,99500.0,99500.0
116,101600.0,101600.0
117,282100.0,282100.0
118,500001.0,500001.0
119,134300.0,134300.0
120,170100.0,170100.0
121,112500.0,112500.0
122,381500.0,381500.0
123,212500.0,212500.0
124,287600.0,287600.0
125,119400.0,119400.0
126,55100.0,55100.0
127,104200.0,104200.0
128,214700.0,214700.0
129,88000.0,88000.0
130,100600.0,100600.0
131,203700.0,203700.0
132,333300.0,333300.0
133,112500.0,112500.0
134,500001.0,500001.0
135,93000.0,93000.0
136,237800.0,237800.0
137,105300.0,105300.0
138,296600.0,296600.0
139,228700.0,228700.0
140,341900.0,341900.0
141,90500.0,90500.0
142,97500.0,97500.0
143,134100.0,134100.0
144,271300.0,271300.0
145,200000.0,200000.0
146,151800.0,151800.0
147,271200.0,271200.0
148,112500.0,112500.0
149,262100.0,262100.0
150,88300.0,88300.0
151,107200.0,107200.0
152,166000.0,166000.0
153,218100.0,218100.0
154,72800.0,72800.0
155,118800.0,118800.0
156,237500.0,237500.0
157,281600.0,281600.0
158,500001.0,500001.0
159,86300.0,86300.0
160,152700.0,152700.0
161,84600.0,84600.0
162,86400.0,86400.0
163,85700.0,85700.0
164,196700.0,196700.0
165,160700.0,160700.0
166,347500.0,347500.0
167,72500.0,72500.0
168,344200.0,344200.0
169,108000.0,108000.0
170,428600.0,428600.0
171,225000.0,225000.0
172,167000.0,167000.0
173,239400.0,239400.0
174,53200.0,53200.0
175,148300.0,148300.0
176,343300.0,343300.0
177,137500.0,137500.0
178,136700.0,136700.0
179,295600.0,295600.0
180,350000.0,350000.0
181,131300.0,131300.0
182,67900.0,67900.0
183,124600.0,124600.0
184,500001.0,500001.0
185,500001.0,500001.0
186,219500.0,219500.0
187,75000.0,75000.0
188,155800.0,155800.0
189,301000.0,301000.0
190,258300.0,258300.0
191,230700.0,230700.0
192,263800.0,263800.0
193,79400.0,79400.0
194,110700.0,110700.0
195,500001.0,500001.0
196,175000.0,175000.0
197,277900.0,277900.0
198,155200.0,155200.0
199,47000.0,47000.0
200,187300.0,187300.0
201,177800.0,177800.0
202,182900.0,182900.0
203,182100.0,182100.0
204,187900.0,187900.0
205,101900.0,101900.0
206,122500.0,122500.0
207,193500.0,193500.0
208,155700.0,155700.0
209,176700.0,176700.0
210,223800.0,223800.0
211,66000.0,66000.0
212,90200.0,90200.0
213,142200.0,142200.0
214,345700.0,345700.0
215,118800.0,118800.0
216,112500.0,112500.0
217,73400.0,73400.0
218,343800.0,343800.0
219,238200.0,238200.0
220,335500.0,335500.0
221,83600.0,83600.0
222,464300.0,464300.0
223,293000.0,293000.0
224,110600.0,110600.0
225,179800.0,179800.0
226,199000.0,199000.0
227,288900.0,288900.0
228,140200.0,140200.0
229,54100.0,54100.0
230,112500.0,112500.0
231,164600.0,164600.0
232,86200.0,86200.0
233,237500.0,237500.0
234,283100.0,283100.0
235,500001.0,500001.0
236,228800.0,228800.0
237,184400.0,184400.0
238,240300.0,240300.0
239,125000.0,125000.0
240,290700.0,290700.0
241,69300.0,69300.0
242,349000.0,349000.0
243,51700.0,51700.0
244,95000.0,95000.0
245,134600.0,134600.0
246,183900.0,183900.0
247,166300.0,166300.0
248,75000.0,75000.0
249,411200.0,411200.0
250,162500.0,162500.0
251,237200.0,237200.0
252,263600.0,263600.0
253,209800.0,209800.0
254,60000.0,60000.0
255,175400.0,175400.0
256,101400.0,101400.0
257,53000.0,53000.0
258,137500.0,137500.0
259,138800.0,138800.0
260,153100.0,153100.0
261,150000.0,150000.0
262,54700.0,54700.0
263,115200.0,115200.0
264,187500.0,187500.0
265,295100.0,295100.0
266,209900.0,209900.0
267,248700.0,248700.0
268,156900.0,156900.0
269,156900.0,156900.0
270,138800.0,138800.0
271,137800.0,137800.0
272,200200.0,200200.0
273,500001.0,500001.0
274,221000.0,221000.0
275,375000.0,375000.0
276,156500.0,156500.0
277,120500.0,120500.0
278,472700.0,472700.0
279,107400.0,107400.0
280,87200.0,87200.0
281,162500.0,162500.0
282,146000.0,146000.0
283,500001.0,500001.0
284,209700.0,209700.0
285,117700.0,117700.0
286,224200.0,224200.0
287,190100.0,190100.0
288,263800.0,263800.0
289,197200.0,197200.0
290,194100.0,194100.0
291,94900.0,94900.0
292,292700.0,292700.0
293,241000.0,241000.0
294,164500.0,164500.0
295,268300.0,268300.0
296,149400.0,149400.0
297,94900.0,94900.0
298,348900.0,348900.0
299,500001.0,500001.0
300,259800.0,259800.0
301,50600.0,50600.0
302,136300.0,136300.0
303,44400.0,44400.0
304,162500.0,162500.0
305,282100.0,282100.0
306,250800.0,250800.0
307,438300.0,438300.0
308,203000.0,203000.0
309,80200.0,80200.0
310,263600.0,263600.0
311,246700.0,246700.0
312,93200.0,93200.0
313,305800.0,305800.0
314,371800.0,371800.0
315,76800.0,76800.0
316,178200.0,178200.0
317,163600.0,163600.0
318,231600.0,231600.0
319,270500.0,270500.0
320,84500.0,84500.0
321,116800.0,116800.0
322,225000.0,225000.0
323,278400.0,278400.0
324,196100.0,196100.0
325,161900.0,161900.0
326,189600.0,189600.0
327,137900.0,137900.0
328,117000.0,117000.0
329,355000.0,355000.0
330,188500.0,188500.0
331,373500.0,373500.0
332,325200.0,325200.0
333,65200.0,65200.0
334,229100.0,229100.0
335,243100.0,243100.0
336,287500.0,287500.0
337,500001.0,500001.0
338,279900.0,279900.0
339,150400.0,150400.0
340,500001.0,500001.0
341,239800.0,239800.0
342,220800.0,220800.0
343,80300.0,80300.0
344,287500.0,287500.0
345,131600.0,131600.0
346,202700.0,202700.0
347,500001.0,500001.0
348,92400.0,92400.0
349,187500.0,187500.0
350,98000.0,98000.0
351,500001.0,500001.0
352,254100.0,254100.0
353,271800.0,271800.0
354,57900.0,57900.0
355,256000.0,256000.0
356,96200.0,96200.0
357,209500.0,209500.0
358,185200.0,185200.0
359,154100.0,154100.0
360,221700.0,221700.0
361,263100.0,263100.0
362,142500.0,142500.0
363,401900.0,401900.0
364,188100.0,188100.0
365,118800.0,118800.0
366,366700.0,366700.0
367,164400.0,164400.0
368,500001.0,500001.0
369,194700.0,194700.0
370,301900.0,301900.0
371,185900.0,185900.0
372,329100.0,329100.0
373,112500.0,112500.0
374,390500.0,390500.0
375,197500.0,197500.0
376,376800.0,376800.0
377,320900.0,320900.0
378,183600.0,183600.0
379,170800.0,170800.0
380,161200.0,161200.0
381,225000.0,225000.0
382,103500.0,103500.0
383,235300.0,235300.0
384,100800.0,100800.0
385,152700.0,152700.0
386,481500.0,481500.0
387,113000.0,113000.0
388,130800.0,130800.0
389,275000.0,275000.0
390,113500.0,113500.0
391,165500.0,165500.0
392,168600.0,168600.0
393,183300.0,183300.0
394,89700.0,89700.0
395,500001.0,500001.0
396,196300.0,196300.0
397,127900.0,127900.0
398,124200.0,124200.0
399,75900.0,75900.0
400,349600.0,349600.0
401,150000.0,150000.0
402,75800.0,75800.0
403,187500.0,187500.0
404,183800.0,183800.0
405,359500.0,359500.0
406,187300.0,187300.0
407,435700.0,435700.0
408,120000.0,120000.0
409,159400.0,159400.0
410,211700.0,211700.0
411,240000.0,240000.0
412,83500.0,83500.0
413,145200.0,145200.0
414,80400.0,80400.0
415,184000.0,184000.0
416,134500.0,134500.0
417,236900.0,236900.0
418,153000.0,153000.0
419,165100.0,165100.0
420,267400.0,267400.0
421,140600.0,140600.0
422,147100.0,147100.0
423,116300.0,116300.0
424,61700.0,61700.0
425,141900.0,141900.0
426,247300.0,247300.0
427,197300.0,197300.0
428,172100.0,172100.0
429,244100.0,244100.0
430,500001.0,500001.0
431,233000.0,233000.0
432,157500.0,157500.0
433,164000.0,164000.0
434,73400.0,73400.0
435,124300.0,124300.0
436,102200.0,102200.0
437,41400.0,41400.0
438,178000.0,178000.0
439,67500.0,67500.0
440,75000.0,75000.0
441,178600.0,178600.0
442,236100.0,236100.0
443,333700.0,333700.0
444,227900.0,227900.0
445,106900.0,106900.0
446,212500.0,212500.0
447,113600.0,113600.0
448,115600.0,115600.0
449,162500.0,162500.0
450,269800.0,269800.0
451,144400.0,144400.0
452,500001.0,500001.0
453,186500.0,186500.0
454,161400.0,161400.0
455,117500.0,117500.0
456,139800.0,139800.0
457,125000.0,125000.0
458,233300.0,233300.0
459,266700.0,266700.0
460,126900.0,126900.0
461,135700.0,135700.0
462,150000.0,150000.0
463,185600.0,185600.0
464,159700.0,159700.0
465,219400.0,219400.0
466,53500.0,53500.0
467,115600.0,115600.0
468,126700.0,126700.0
469,219600.0,219600.0
470,248300.0,248300.0
471,204600.0,204600.0
472,55800.0,55800.0
473,380000.0,380000.0
474,173500.0,173500.0
475,95000.0,95000.0
476,223900.0,223900.0
477,100400.0,100400.0
478,162500.0,162500.0
479,159400.0,159400.0
480,288300.0,288300.0
481,53400.0,53400.0
482,350600.0,350600.0
483,197900.0,197900.0
484,146100.0,146100.0
485,232900.0,232900.0
486,500001.0,500001.0
487,224500.0,224500.0
488,350000.0,350000.0
489,163300.0,163300.0
490,111400.0,111400.0
491,138700.0,138700.0
492,188200.0,188200.0
493,265900.0,265900.0
494,182700.0,182700.0
495,182400.0,182400.0
496,63900.0,63900.0
497,71400.0,71400.0
498,189000.0,189000.0
499,143800.0,143800.0
500,239400.0,239400.0
501,217800.0,217800.0
502,130100.0,130100.0
503,157500.0,157500.0
504,161100.0,161100.0
505,125000.0,125000.0
506,94400.0,94400.0
507,250000.0,250000.0
508,97300.0,97300.0
509,150000.0,150000.0
510,500001.0,500001.0
511,158500.0,158500.0
512,185500.0,185500.0
513,90000.0,90000.0
514,179500.0,179500.0
515,158600.0,158600.0
516,92500.0,92500.0
517,258100.0,258100.0
518,79500.0,79500.0
519,165000.0,165000.0
520,239200.0,239200.0
521,216100.0,216100.0
522,156300.0,156300.0
523,158300.0,158300.0
524,167600.0,167600.0
525,54000.0,54000.0
526,181600.0,181600.0
527,111700.0,111700.0
528,178400.0,178400.0
529,343500.0,343500.0
530,49400.0,49400.0
531,284800.0,284800.0
532,143800.0,143800.0
533,159000.0,159000.0
534,232000.0,232000.0
535,500001.0,500001.0
536,479000.0,479000.0
537,60400.0,60400.0
538,113800.0,113800.0
539,187900.0,187900.0
540,146900.0,146900.0
541,218300.0,218300.0
542,87500.0,87500.0
543,244000.0,244000.0
544,264300.0,264300.0
545,169200.0,169200.0
546,209900.0,209900.0
547,138300.0,138300.0
548,144800.0,144800.0
549,447400.0,447400.0
550,142600.0,142600.0
551,162100.0,162100.0
552,231100.0,231100.0
553,210300.0,210300.0
554,155600.0,155600.0
555,48000.0,48000.0
556,275000.0,275000.0
557,278900.0,278900.0
558,443600.0,443600.0
559,56500.0,56500.0
560,162000.0,162000.0
561,171400.0,171400.0
562,313900.0,313900.0
563,229800.0,229800.0
564,170800.0,170800.0
565,114800.0,114800.0
566,314800.0,314800.0
567,124300.0,124300.0
568,493300.0,493300.0
569,168900.0,168900.0
570,322600.0,322600.0
571,400000.0,400000.0
572,94200.0,94200.0
573,180800.0,180800.0
574,143500.0,143500.0
575,68100.0,68100.0
576,137000.0,137000.0
577,82500.0,82500.0
578,500001.0,500001.0
579,390100.0,390100.0
580,111400.0,111400.0
581,154600.0,154600.0
582,280400.0,280400.0
583,137500.0,137500.0
584,288100.0,288100.0
585,333300.0,333300.0
586,411600.0,411600.0
587,369400.0,369400.0
588,131000.0,131000.0
589,134500.0,134500.0
590,185200.0,185200.0
591,162500.0,162500.0
592,67900.0,67900.0
593,153500.0,153500.0
594,141300.0,141300.0
595,158800.0,158800.0
596,218400.0,218400.0
597,133300.0,133300.0
598,137400.0,137400.0
599,180400.0,180400.0
600,222100.0,222100.0
601,371200.0,371200.0
602,258000.0,258000.0
603,134400.0,134400.0
604,169200.0,169200.0
605,130400.0,130400.0
606,254900.0,254900.0
607,270800.0,270800.0
608,178200.0,178200.0
609,132800.0,132800.0
610,320600.0,320600.0
611,90600.0,90600.0
612,222200.0,222200.0
613,172600.0,172600.0
614,74800.0,74800.0
615,338100.0,338100.0
616,129200.0,129200.0
617,189000.0,189000.0
618,320200.0,320200.0
619,212900.0,212900.0
620,96200.0,96200.0
621,120300.0,120300.0
622,121000.0,121000.0
623,61800.0,61800.0
624,82100.0,82100.0
625,58400.0,58400.0
626,284800.0,284800.0
627,202800.0,202800.0
628,169500.0,169500.0
629,61000.0,61000.0
630,74600.0,74600.0
631,500001.0,500001.0
632,379000.0,379000.0
633,96200.0,96200.0
634,309500.0,309500.0
635,247000.0,247000.0
